,Text,User,Date,Favs,Retweets,Replies
34,आज दुनियाभर में भारतीय संस्कृति के बारे में जानने को लेकर दिलचस्पी बढ़ रही है… #MannKiBaat https://t.co/V0AhXSa1Ol,narendramodi,2021-12-26 13:25:40+00:00,8980,2636,304
35,"2022 से जुड़े बहुत सारे संदेश और सुझाव स्वच्छता और स्वच्छ भारत को लेकर हैं। स्वच्छता का ये संकल्प अनुशासन से, सजगता से और समर्पण से ही पूरा होगा। यही तो देश की नई सोच है, जिसका नेतृत्व सारे देशवासी मिलकर कर रहे हैं। #MannKiBaat https://t.co/o1Ki3ejAyU",narendramodi,2021-12-26 13:25:17+00:00,6842,2066,176
36,"ये जनशक्ति की ही ताकत है, सबका प्रयास है कि भारत 100 साल में आई सबसे बड़ी महामारी से लड़ सका। 
 
हमारी सामूहिक शक्ति ही कोरोना को परास्त करेगी, इसी दायित्वबोध के साथ हमें 2022 में प्रवेश करना है। #MannKiBaat https://t.co/sGUYmlkL4V",narendramodi,2021-12-26 13:24:56+00:00,7352,2167,188
37,"Group Captain Varun Singh, who was on board the helicopter that crashed in Tamil Nadu, wrote an inspiring letter to his school. 

This letter has a very motivating message for students, parents and teachers. #MannKiBaat https://t.co/qOioDtGp58",narendramodi,2021-12-26 11:06:07+00:00,12222,3259,420
38,"In a time when smart phones are such an integral part of people’s lives, let us not forget popularising book reading too. #MannKiBaat https://t.co/mOwqfOFdPW",narendramodi,2021-12-26 11:01:22+00:00,9650,2573,243
39,The life and work of Dr. Kurella Vittalacharya shows it is never late to fulfil one’s desires and that there is no bigger happiness than furthering the joys of learning. #MannKiBaat https://t.co/GoOJhXbKFt,narendramodi,2021-12-26 11:01:07+00:00,6576,1951,174
40,This rendition of Vande Mataram by students in Greece will make you very happy and proud. #MannKiBaat https://t.co/odR2uTsrTm,narendramodi,2021-12-26 10:59:20+00:00,9844,2751,241
41,"During #MannKiBaat, highlighted a unique and innovative mass movement in Arunachal Pradesh that contributes to furthering environmental consciousness. https://t.co/7UJOPumq3m",narendramodi,2021-12-26 10:58:49+00:00,6653,2047,160
42,"Archbishop Emeritus Desmond Tutu was a guiding light for countless people globally. His emphasis on human dignity and equality will be forever remembered. I am deeply saddened by his demise, and extend my heartfelt condolences to all his admirers. May his soul rest in peace.",narendramodi,2021-12-26 08:34:30+00:00,16729,2925,467
43,Sharing this month’s #MannKiBaat. https://t.co/dOFZ9K412f,narendramodi,2021-12-26 05:30:28+00:00,14900,4606,782
44,Tune in today at 11 AM. #MannKiBaat https://t.co/KVAlLOjbcN,narendramodi,2021-12-26 02:37:18+00:00,28955,4774,1123
45,My address to the nation. https://t.co/dBQKvHXPtv,narendramodi,2021-12-25 16:15:26+00:00,31277,9700,1824
