,Text,User,Date,Favs,Retweets,Replies
99,"COVID-19 has disrupted supply chains around the world. Now, even in the midst of a historic economic recovery, Americans are facing prices that are just too high. 

We must pass the Build Back Better Act to lower costs for working families and help get people back to work.",JoeBiden,2021-11-14 20:30:01+00:00,19265,3418,3361
100,The Build Back Better Framework will strengthen the middle class by bringing down costs on everyday essentials and enacting tax cuts for the middle class—and we’ll get it done by asking the wealthiest to pay their fair share.,JoeBiden,2021-11-14 17:37:01+00:00,17717,2924,2044
101,"The Build Back Better Framework will be the largest effort to combat climate change in American history—and through this effort, we’ll grow industries here in the United States; create good-paying union jobs; and combat environmental injustice.",JoeBiden,2021-11-13 23:53:00+00:00,15379,2413,2088
102,"Our economy has created 5.6 million jobs since January and unemployment is below 5%. 

But Americans across the country are facing prices that are just too high. We must pass the Build Back Better Act to lower costs for working families and help get people back to work.",JoeBiden,2021-11-13 21:05:02+00:00,19447,3092,2402
103,"Lowering costs for American families is a top priority. 

The Bipartisan Infrastructure Deal will strengthen the supply chain and reduce bottlenecks, and Build Back Better will ease inflationary pressures and lower costs for working families.",JoeBiden,2021-11-13 16:35:00+00:00,14370,2259,1891
104,"Despite our historic recovery, families are still feeling a strain. The Bipartisan Infrastructure Deal will help:

- Bring down costs
- Reduce bottlenecks
- Get goods to market faster

And Build Back Better will help ease inflationary pressures and lower costs for families.",JoeBiden,2021-11-13 01:46:00+00:00,14495,2471,2420
105,"The Bipartisan Infrastructure Deal will lower costs and reduce supply chain bottlenecks.

Now, let's pass Build Back Better—which 17 Nobel Prize winning economists say will ease longer-term inflationary pressures and lower costs for American families.",JoeBiden,2021-11-12 21:46:00+00:00,10550,1954,1434
106,"The Build Back Better Framework will be a transformative investment in our future. Together, we can grow the economy from the bottom up and the middle out so that everyone gets ahead.",JoeBiden,2021-11-12 20:39:01+00:00,11961,1784,1331
107,"Less than 1% of Americans currently serve in our military and while we can never fully repay the debt we owe these heroes, it is our sacred obligation to properly care for and support them. 

This Veterans Day, we honor all those who have answered the call to serve. https://t.co/DBAMdlvUJK",JoeBiden,2021-11-11 16:08:18+00:00,9714,1671,1270
108,"With the Build Back Better Framework, we will make health care more affordable for millions of Americans.",JoeBiden,2021-11-11 01:27:00+00:00,20435,2562,2756
109,"Under the Build Back Better Framework, we will create millions of good-paying jobs, spur long-term growth, lower costs for working families, and set America on course to meet our greenhouse gas emissions targets.",JoeBiden,2021-11-10 23:01:01+00:00,13003,2032,1682
110,"The Bipartisan Infrastructure Deal is a historic investment in our nation’s public infrastructure. 

We will rebuild our roads and bridges, provide clean drinking water, expand broadband access, invest in clean energy, and create good-paying jobs across the country.",JoeBiden,2021-11-10 16:52:02+00:00,11354,1859,1269
111,"Climate action is not just a moral imperative: it’s also an economic imperative. Investing in our clean energy future leads not only to good-paying jobs and economic recovery, but to making the world a better place for future generations.",JoeBiden,2021-11-10 00:40:00+00:00,19798,2861,2772
112,"The historic Bipartisan Infrastructure Deal will help American workers and businesses win the 21st century. I’m speaking about this and more with you this afternoon. RSVP now.
https://t.co/cyxzWs95gF",JoeBiden,2021-11-09 18:13:01+00:00,6709,1132,1054
113,"The Build Back Better Act will be a once-in-a-generation investment in our people, reducing the cost of child care and elder care, providing universal pre-K for every 3-year-old and 4-year-old, and lowering prescription drug costs.
https://t.co/oNRgg0c643",JoeBiden,2021-11-09 15:12:01+00:00,9295,1411,1372
114,"From the creation of over 5.6 million jobs to the unemployment rate reaching a pandemic-low of 4.6%, America is getting back to work. 

And thanks to the American Rescue Plan, we’ve managed it two years sooner than forecasters predicted we could.
https://t.co/uw4GWPYoCw",JoeBiden,2021-11-09 02:12:00+00:00,9663,1692,1744
