,Text,User,Date,Favs,Retweets,Replies
47,"Inauguración de instalaciones de la Guardia Nacional, desde Zitácuaro, Michoacán https://t.co/Cuqcs906bR",lopezobrador_,2021-12-03 19:05:56+00:00,6949,1970,658
48,"Conferencia de prensa matutina, desde Morelia, Michoacán https://t.co/IoUnmSbsak",lopezobrador_,2021-12-03 13:12:50+00:00,5338,1661,708
49,Hemos resistido a las adversidades y avanzamos en la transformación de la vida pública de México. Conferencia matutina https://t.co/uxq10sUUdH,lopezobrador_,2021-12-02 13:19:12+00:00,7496,2189,1035
50,Gracias de todo corazón. https://t.co/MDsCC5G0MC,lopezobrador_,2021-12-02 01:28:41+00:00,43683,10455,6407
51,3 años de gobierno 2018-2021 https://t.co/t2Z6ujwRab,lopezobrador_,2021-12-01 20:30:33+00:00,15652,5606,2685
52,"Conferencia de prensa matutina, desde Ciudad de México https://t.co/uKxWpzaKfw",lopezobrador_,2021-11-30 13:06:17+00:00,6128,1865,1020
53,"¿Quieres saber cómo es en la práctica el gobierno del pueblo, la democracia? https://t.co/PTo5LoXDbh",lopezobrador_,2021-11-30 00:46:55+00:00,13210,4004,1966
54,"Se nota que estamos en Oaxaca, capital cultural de México. https://t.co/j2kMLb30IQ",lopezobrador_,2021-11-29 21:01:56+00:00,9857,2861,774
55,"Inauguración del camino rural San Jerónimo Taviche, desde Oaxaca https://t.co/lbfg3HN7iJ",lopezobrador_,2021-11-29 18:39:14+00:00,4431,1350,298
56,"Conferencia de prensa matutina, desde Oaxaca https://t.co/xlbhdAIYUa",lopezobrador_,2021-11-29 13:04:32+00:00,4692,1510,636
57,"Supervisamos por helicóptero la súpercarretera de Oaxaca a Puerto Escondido; se inició hace 10 años y la terminaremos en agosto del año próximo. Se harán dos horas, no seis como hoy a la costa. https://t.co/EzF49W3M7C",lopezobrador_,2021-11-29 01:55:39+00:00,15632,3971,1365
58,Es ejemplar el apoyo de trabajadores y técnicos para rescatar a Pemex y lograr el propósito de producir en el país las gasolinas y el diésel que consumimos. https://t.co/t4becpBeBH,lopezobrador_,2021-11-28 22:01:07+00:00,7786,2522,734
