,Text,User,Date,Favs,Retweets,Replies
48,"Türk Devletleri Teşkilatı’nın da aralarında olduğu 6 organizasyonun dönem başkanlığını aktif bir şekilde, başarıyla yürüttük. https://t.co/JKX0CFH6AC",RTErdogan,2021-12-31 16:55:00+00:00,26849,10047,277
49,"Doğu Akdeniz’de Türkiye’nin ve Kuzey Kıbrıs Türk Cumhuriyeti’nin meşru hak ve çıkarlarını koruduk, korumaya da devam edeceğiz. https://t.co/uTBWgLOO3Z",RTErdogan,2021-12-31 16:50:00+00:00,27611,10446,324
50,4 büyük uluslararası organizasyona başarıyla ev sahipliği yaptık. https://t.co/9QKT32fP8P,RTErdogan,2021-12-31 16:45:00+00:00,27456,10028,671
51,"Kapalı alanında 6 bin, açık alanında 7 bin 500 kişinin aynı anda ibadet edebildiği Zonguldak Uzun Mehmet Camii'nin açılışını gerçekleştirdik. https://t.co/4MLDCGKqaL",RTErdogan,2021-12-31 16:40:00+00:00,28286,10293,331
52,"Ayasofya-i Kebîr Cami-i Şerîfi'ne verilen bir selam, İstanbul'un Fethi’nin 568. yıl dönümüne bir hediye olarak gördüğümüz Taksim Camii'ni hizmete aldık. https://t.co/mZj8bLYv62",RTErdogan,2021-12-31 16:35:00+00:00,36736,12917,447
53,197 sinema projesine toplamda 49 milyon 550 bin TL destek sağladık. https://t.co/mRoW5QM3rM,RTErdogan,2021-12-31 16:32:52+00:00,25065,9461,243
54,"Yurt dışına kaçırılan 525 eserimizi yeniden ait olduğu yere, Türkiye'ye getirdik. https://t.co/EQx7R1WSU1",RTErdogan,2021-12-31 16:30:00+00:00,26246,9945,227
55,En nadide eserlerin ve seçkin yapımların sinemaseverlerle buluşacağı İstanbul Sinema Müzesi - Atlas 1948 Sineması’nın açılışını gerçekleştirdik. https://t.co/rhptEQ0Lnh,RTErdogan,2021-12-31 16:25:00+00:00,24815,9666,246
56,504 özel tiyatroya 19 ilimizdeki 24 sahneyi ücretsiz olarak tahsis ettik. https://t.co/6wcwZO0FXU,RTErdogan,2021-12-31 16:15:00+00:00,22742,9121,217
57,"Salgından olumsuz etkilenen 40 bin müzisyenimize 280 milyon TL destek sağladık, 56 müzik projesine 31 milyon TL kaynak aktardık. https://t.co/n1VIin2FGX",RTErdogan,2021-12-31 16:10:00+00:00,23422,9425,244
58,Galataport’tan İstanbul Atatürk Kültür Merkezi’ne kadar uzanan Beyoğlu Kültür Yolu'nu Beyoğlu Kültür Yolu Festivali ile dünya vitrinine çıkardık. https://t.co/DjI4PGseuu,RTErdogan,2021-12-31 16:05:00+00:00,24100,9523,219
59,Tarihî Cumhurbaşkanlığı Senfoni Orkestrası binasını yenileyerek sanat camiamızın hizmetine sunduk. https://t.co/xGiE41Rx7o,RTErdogan,2021-12-31 16:00:04+00:00,23702,9318,237
60,24 milyar dolar turizm geliri sağladık. Ülkemizi ziyaret eden kişi sayısı %100 artışla 29 milyonu buldu. https://t.co/wtiLkSUhrk,RTErdogan,2021-12-31 15:55:00+00:00,26207,10074,321
61,313 tescilli taşınmaza 24 milyon TL nakdi yardımda bulunduk. https://t.co/KXexYRkBaH,RTErdogan,2021-12-31 15:50:00+00:00,23771,9489,249
62,Eşsiz kültürel miraslarımızdan biri olan ve restorasyon çalışmaları sebebiyle kapalı bulunan Sümela Manastırı'nı yeniden açtık. https://t.co/ZK9am3mPrD,RTErdogan,2021-12-31 15:45:00+00:00,24737,9745,264
63,İstanbul Arkeoloji Müzeleri'ni açılışa hazır hale getirdik. https://t.co/WjBI5zLpT2,RTErdogan,2021-12-31 15:40:00+00:00,24816,9745,246
64,295 kültür varlığımızın ve vakıf eserimizin restorasyonunu tamamladık. https://t.co/vd3Pg3L76M,RTErdogan,2021-12-31 15:35:00+00:00,24832,9910,288
65,Yeni Türkiye fotoğrafının en belirgin görüldüğü eserlerden biri olan Atatürk Kültür Merkezi'nin açılışını gerçekleştirdik. https://t.co/YyDa1sYLpT,RTErdogan,2021-12-31 15:30:00+00:00,25273,10259,264
66,21 bin 407 öğretmenimizin atamasını gerçekleştirdik. Yeni yılın Ocak ayında 15 bin atama daha yapacağız. https://t.co/ACRMw6lzDl,RTErdogan,2021-12-31 15:25:00+00:00,30171,10879,4137
67,Bin 248 engelli öğretmenimizin atamasını gerçekleştirdik. Engelli kardeşlerimizi her alanda desteklemeye 2022’de de devam edeceğiz. https://t.co/LWeHObAlNC,RTErdogan,2021-12-31 15:20:00+00:00,26541,10407,1425
